 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
| Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                           |
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
|Date |Time | Sequence                                   |#Img|Q1|Qn|  Format |Hada|S R|Ref|Freq|IP|SNRY 1|SNRU 1|SNRV 1|SNRY N|SNRU N|SNRV N| #Bitr P | #Bitr B |Bit Rate| Ecode T |
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
| 13-Ju | 14:19 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 60 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   507936|        0|  507.94|    33.99|
| 20-Ju | 14:15 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 60 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   507936|        0|  507.94|    34.24|
| 20-Ju | 14:35 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 60 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   507936|        0|  507.94|    34.20|
| 20-Ju | 14:41 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 60 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   507936|        0|  507.94|    38.41|
| 20-Ju | 15:17 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 60 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   507936|        0|  507.94|    37.61|
| 24-Ju | 13:06 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 60 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   507936|        0|  507.94|    34.58|
| 24-Ju | 13:56 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 60 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   507936|        0|  507.94|    34.48|
| 24-Ju | 14:06 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|  10|45|32| 416x240 | ON | 64| 4 | 60 | 0|30.175|34.106|35.895|28.890|33.913|35.392|   309504|        0|  309.50|    82.80|
| 24-Ju | 14:08 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|  10|45|32| 416x240 | ON | 64| 4 | 60 | 0|30.175|34.106|35.895|28.890|33.913|35.392|   309504|        0|  309.50|    83.67|
| 24-Ju | 14:10 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|  10|45|32| 416x240 | ON | 64| 4 | 60 | 0|30.175|34.106|35.895|28.890|33.913|35.392|   309504|        0|  309.50|    83.09|
| 24-Ju | 14:13 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|  10|45|32| 416x240 | ON | 64| 4 | 60 | 0|30.175|34.106|35.895|28.890|33.913|35.392|   309504|        0|  309.50|    82.91|
| 24-Ju | 14:58 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 50 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   423280|        0|  423.28|    34.07|
| 24-Ju | 15:01 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 50 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   423280|        0|  423.28|    34.08|
| 24-Ju | 15:03 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 50 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   423280|        0|  423.28|    34.00|
| 24-Ju | 15:06 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|  10|45|32| 416x240 | ON | 64| 4 | 50 | 0|30.175|34.106|35.895|28.890|33.913|35.392|   257920|        0|  257.92|    83.08|
| 24-Ju | 15:08 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|  10|45|32| 416x240 | ON | 64| 4 | 50 | 0|30.175|34.106|35.895|28.890|33.913|35.392|   257920|        0|  257.92|    83.22|
| 24-Ju | 15:10 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|  10|45|32| 416x240 | ON | 64| 4 | 50 | 0|30.175|34.106|35.895|28.890|33.913|35.392|   257920|        0|  257.92|    83.14|
| 24-Ju | 15:40 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 50 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   423280|        0|  423.28|    34.13|
| 26-Ju | 14:45 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 50 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   423280|        0|  423.28|    34.17|
| 26-Ju | 17:12 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 50 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   423280|        0|  423.28|    34.02|
| 26-Ju | 17:13 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 50 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   423280|        0|  423.28|    34.24|
| 26-Ju | 17:15 |/home/brunno/origCfP/BlowingBubbles_416x240_50.yuv|   5|45|32| 416x240 | ON | 64| 4 | 50 | 0|30.175|34.106|35.895|29.149|33.931|35.561|   423280|        0|  423.28|    34.05|
